fen,evaluation
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,0
8/8/8/1p2k1p1/p1b1R1P1/2PnK3/1P6/8 b - - 2 56,-617
8/8/5k2/1p4p1/p1b1R1P1/2PnK3/1P6/8 w - - 3 57,-590
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,29
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,26
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,14
rn1qk2r/p1pp1ppp/bp2pn2/8/1bPP4/1P3NP1/P3PP1P/RNBQKB1R w KQkq - 1 6,7
rn1qk2r/p1pp1ppp/bp2pn2/8/1bPP4/1P3NP1/P2BPP1P/RN1QKB1R b KQkq - 2 6,7
rn1qkb1r/p1pp1ppp/bp2pn2/8/2PP4/1P3NP1/P3PP1P/RNBQKB1R b KQkq - 0 5,8
rn1qk2r/p1ppbppp/bp2pn2/8/2PP4/1P3NP1/P2BPP1P/RN1QKB1R w KQkq - 3 7,11
rn1qk2r/p3bppp/bpp1pn2/3p4/2PP4/1PB2NP1/P3PPBP/RN1QK2R w KQkq - 0 9,7
rn1qkb1r/p1pp1ppp/bp2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,14
rn1qk2r/p2pbppp/bpp1pn2/8/2PP4/1PB2NP1/P3PPBP/RN1QK2R b KQkq - 1 8,9
rn1qk2r/p1ppbppp/bp2pn2/8/2PP4/1P3NP1/P2BPPBP/RN1QK2R b KQkq - 4 7,13
rn1qk2r/p3bppp/bpp1pn2/3pN3/2PP4/1PB3P1/P3PPBP/RN1QK2R b KQkq - 1 9,2
rn1qk2r/p2pbppp/bpp1pn2/8/2PP4/1P3NP1/P2BPPBP/RN1QK2R w KQkq - 0 8,2
rn1qk2r/p2Nbppp/bpp1p3/3p4/2PP4/1PB3P1/P3PPBP/RN1QK2R b KQkq - 0 10,0
rn1qk2r/p2nbppp/bpp1p3/3pN3/2PP4/1PB3P1/P3PPBP/RN1QK2R w KQkq - 2 10,7
r2qk2r/p2nbppp/bpp1p3/3p4/2PP4/1PB3P1/P3PPBP/RN1QK2R w KQkq - 0 11,8
2rq1rk1/p2nbppp/bpp1p3/3p4/2PP4/1PB3P1/P2NPPBP/R2Q1RK1 w - - 4 13,10
r2qk2r/p2nbppp/bpp1p3/3p4/2PP4/1PB3P1/P2NPPBP/R2QK2R b KQkq - 1 11,11
r2q1rk1/p2nbppp/bpp1p3/3p4/2PP4/1PB3P1/P2NPPBP/R2QK2R w KQ - 2 12,2
2rq1rk1/p2nbppp/bpp1p3/3p4/2PPP3/1PB3P1/P2N1PBP/R2Q1RK1 b - - 0 13,9
r2q1rk1/p2nbppp/bpp1p3/3p4/2PP4/1PB3P1/P2NPPBP/R2Q1RK1 b - - 3 12,9
2rq1rk1/p2nbppp/b1p1p3/1p1p4/2PPP3/1PB3P1/P2N1PBP/R2QR1K1 b - - 1 14,8
2rq1rk1/p2nbppp/b1p1p3/1p1p4/2PPP3/1PB3P1/P2N1PBP/R2Q1RK1 w - - 0 14,13
2rq1rk1/p2nbppp/b1p1p3/1p6/2PPp3/1PB3P1/P2N1PBP/R2QR1K1 w - - 0 15,30
2rq1rk1/p3b1pp/b1p1p3/2P1np2/1B1Pp3/1P3PP1/P2N2BP/R2QR1K1 w - - 1 18,-134
2rq1rk1/p2nb1pp/b1p1p3/1pP2p2/3Pp3/1PB3P1/P2N1PBP/R2QR1K1 w - - 0 16,-85
2rq1rk1/p2nb1pp/b1p1p3/1pP2p2/3Pp3/1PB2PP1/P2N2BP/R2QR1K1 b - - 0 16,-155
2rq1rk1/p2nbppp/b1p1p3/1pP5/3Pp3/1PB3P1/P2N1PBP/R2QR1K1 b - - 0 15,-105
2rq1rk1/p3b1pp/b1p1p3/2P1np2/3Pp3/1PB2PP1/P2N2BP/R2QR1K1 b - - 2 18,-141
2rq1rk1/p2nb1pp/b1p1p3/2P2p2/1p1Pp3/1PB2PP1/P2N2BP/R2QR1K1 w - - 0 17,-155
2rq1rk1/p3b1pp/b1p1p3/2P2p2/3Pp3/1PBn1PP1/P2N2BP/R2QR1K1 w - - 3 19,-155
2rq1rk1/p3b1pp/b1p1p3/2P2p2/3PP3/1PBn2P1/P2N2BP/R2QR1K1 b - - 0 19,-161
2rq1rk1/p3b1pp/b1p1p3/2P2p2/3PP3/1PB3P1/P2N2BP/R2Qn1K1 w - - 0 20,-170
2rq1rk1/p3b1pp/b1p1p3/2P2p2/3PP3/1PB3P1/P2N2BP/R3Q1K1 b - - 0 20,-122
2rq1rk1/p3b1pp/b1p5/2P1pp2/3PP3/1PB3P1/P2N2BP/R3Q1K1 w - - 0 21,-153
2rq1rk1/p3b1pp/b1p5/2P2p2/3pP3/1PB2NP1/P5BP/R3Q1K1 w - - 0 22,-166
2rq1rk1/p3b1pp/b1p5/2P1pp2/3PP3/1PB2NP1/P5BP/R3Q1K1 b - - 1 21,-170
2rq1rk1/p3b1pp/b1p5/2P2p2/3BP3/1P3NP1/P5BP/R3Q1K1 b - - 0 22,-149
2rq1rk1/p3b1pp/b1p5/2P5/3BQ3/1P3NP1/P5BP/R5K1 b - - 0 23,-146
2rq1rk1/p3b1pp/b1p5/2P5/3Bp3/1P3NP1/P5BP/R3Q1K1 w - - 0 23,-149
2rq1rk1/p5pp/b1p2b2/2P5/3BQ3/1P3NP1/P5BP/4R1K1 b - - 2 24,-263
2rq1rk1/p5pp/b1p2b2/2P5/3BQ3/1P3NP1/P5BP/R5K1 w - - 1 24,-132
2rqr1k1/p5pp/b1p2b2/2P5/3BQ3/1P3NP1/P5BP/4R1K1 w - - 3 25,-242
2rq1rk1/p2nb1pp/b1p1p3/2P2p2/1B1Pp3/1P3PP1/P2N2BP/R2QR1K1 b - - 0 17,-192
2rq2k1/p5pp/b1p2B2/2P5/4r3/1P3NP1/P5BP/4R1K1 w - - 0 26,-302
2rB2k1/p5pp/b1p5/2P5/8/1P4P1/P5BP/4N1K1 b - - 0 27,-313
2rB2k1/p5pp/b1p5/2P5/4r3/1P3NP1/P5BP/4R1K1 b - - 0 26,-325
2rB2k1/p5pp/b1p5/2P5/8/1P3NP1/P5BP/4r1K1 w - - 0 27,-312
2rqr1k1/p5pp/b1p2B2/2P5/4Q3/1P3NP1/P5BP/4R1K1 b - - 0 25,-321
3r2k1/p5pp/b1p5/2P5/8/1P4P1/P5BP/4N1K1 w - - 0 28,-303
6k1/p5pp/b1B5/2P5/8/1P4P1/P2r1K1P/4N3 w - - 3 30,-322
6k1/p5pp/b1B5/2P5/8/1P4P1/P6P/3rN1K1 w - - 1 29,-324
6k1/p5pp/b1B5/2P5/8/1P3KP1/P2r3P/4N3 b - - 4 30,-336
6k1/p5pp/b1B5/2P5/8/1P4P1/P4K1P/3rN3 b - - 2 29,-331
6k1/p5pp/b1B5/2P5/8/1P3KP1/r6P/4N3 w - - 0 31,-316
3r2k1/p5pp/b1B5/2P5/8/1P4P1/P6P/4N1K1 b - - 0 28,-320
8/p3k1pp/b1B5/2P5/5K1P/1P4P1/r7/4N3 w - - 3 33,-319
8/p3k1pp/b1B5/2P5/5K1P/1P3NP1/5r2/8 w - - 5 34,-282
6k1/p5pp/b1B5/2P5/7P/1P3KP1/r7/4N3 b - - 0 31,-356
5k2/p5pp/b1B5/2P5/5K1P/1P4P1/r7/4N3 b - - 2 32,-332
5k2/p5pp/b1B5/2P5/7P/1P3KP1/r7/4N3 w - - 1 32,-338
8/p3k1pp/b1B5/2P5/5K1P/1P3NP1/r7/8 b - - 4 33,-336
8/p3k1pp/2B5/2P4P/5K2/1P3NP1/4br2/8 w - - 1 35,-402
8/p3k1pp/b1B5/2P4P/5K2/1P3NP1/5r2/8 b - - 0 34,-402
8/p3k1pp/2B5/2P4P/8/1P2KNP1/4br2/8 b - - 2 35,-437
8/p3k1pp/8/2P4P/8/1P2KBP1/1r6/8 w - - 1 37,-420
8/p3k1pp/2B5/2P4P/8/1P2KbP1/5r2/8 w - - 0 36,-439
8/p3k1pp/8/2PB3P/8/1P2K1P1/1r6/8 b - - 2 37,-444
8/p3k1pp/8/2P4P/8/1P2KBP1/5r2/8 b - - 0 36,-372
8/p3k1pp/8/2PB3P/8/1P2K1P1/2r5/8 w - - 3 38,-435
8/p3k1pp/8/2PB3P/3K2P1/1P5r/8/8 w - - 1 40,-454
8/p3k1pp/8/2PB3P/3K4/1P4P1/7r/8 w - - 5 39,-449
8/p3k1pp/8/2PB3P/3K4/1P4P1/2r5/8 b - - 4 38,-452
8/p3k1pp/8/2PBK2P/6P1/1P5r/8/8 b - - 2 40,-492
