fen,evaluation
8/1p1Q4/8/1P2k1p1/5b2/3K1b2/8/8 w - - 9 88,0
8/1p2Q3/8/1P3kp1/5b2/3K1b2/8/8 w - - 7 87,0
8/1p6/8/1P2k2Q/5bp1/3K1b2/8/8 b - - 1 89,0
8/1p6/5k1Q/1P2b3/6p1/4Kb2/8/8 b - - 7 92,0
5Q2/1p6/4k3/1P2b3/6p1/4Kb2/8/8 w - - 10 94,0
8/1p6/4k3/1PQ1b3/6p1/4Kb2/8/8 b - - 11 94,0
8/1p6/8/1PQ1bk2/6p1/4Kb2/8/8 w - - 12 95,0
8/1p1Q4/8/1P2k1p1/4bb2/8/4K3/8 b - - 0 83,15
8/1p6/5k2/1P5Q/3K1bp1/5b2/8/8 b - - 3 90,0
8/1p2Q3/8/1P2bk2/6p1/4Kb2/8/8 b - - 13 95,0
8/1p6/5k2/1P5Q/6p1/4Kbb1/8/8 b - - 5 91,0
8/1p6/5k2/1P5Q/5bp1/3K1b2/8/8 w - - 2 90,25
8/1p3Q2/8/1P2bk2/6p1/5b2/5K2/8 b - - 17 97,0
8/1p6/4Q3/1P2b1k1/6p1/5b2/5K2/8 b - - 19 98,0
8/1p2Q3/8/1P3k2/5bp1/5b2/5K2/8 b - - 15 96,0
8/1p2Q3/8/1P2bk2/6p1/5b2/5K2/8 w - - 16 97,0
8/1p6/4Q3/1P2b3/5kp1/5b2/5K2/8 w - - 20 99,0
8/1p6/5k2/1P5Q/3K2p1/5bb1/8/8 w - - 4 91,12
6Q1/1p6/8/1P2bk2/6p1/5b2/5K2/8 b - - 23 100,0
4Q3/1p6/8/1P3kp1/4bb2/8/4K3/8 w - - 3 85,0
6Q1/1p6/8/1P3k2/3b2p1/5b2/8/5K2 b - - 25 101,0
8/5Q2/1p6/1P3k2/3b2p1/5b2/8/5K2 b - - 1 102,0
8/1p6/8/1P2b3/2Q2kp1/5b2/5K2/8 b - - 21 99,0
6Q1/1p6/8/1P3k2/3b2p1/5b2/5K2/8 w - - 24 101,0
8/1p6/8/1P2bk2/2Q3p1/5b2/5K2/8 w - - 22 100,0
8/8/1p2Q3/1P6/3b2p1/3k1b2/8/5K2 w - - 4 104,0
8/5Q2/1p6/1P6/3bk1p1/5b2/8/5K2 w - - 2 103,0
8/8/1p2Q3/1P6/3bk1p1/5b2/8/5K2 b - - 3 103,0
5Q2/1p6/8/1P2bk2/6p1/4Kb2/8/8 b - - 9 93,20
6Q1/8/1p6/1P3k2/3b2p1/5b2/8/5K2 w - - 0 102,0
8/8/1p2Q3/1Pb5/6p1/3k1b2/8/4K3 w - - 6 105,0
8/8/1p6/1Pb5/4k1p1/1Q3b2/8/4K3 w - - 8 106,0
8/8/1p6/1Pb5/6p1/1Q1k1b2/8/4K3 b - - 7 105,0
8/8/1p6/1Pb5/5kp1/1Q3b2/3K4/8 w - - 10 107,0
4Q3/1p6/5k2/1P4p1/4bb2/8/4K3/8 b - - 2 84,16
8/1p6/7Q/1P2bk2/6p1/4Kb2/8/8 w - - 8 93,14
8/1p2Q3/8/1P3k2/5bp1/4Kb2/8/8 w - - 14 96,28
8/8/1p6/1Pb5/5kp1/1Q3b2/8/4K3 b - - 11 107,0
8/1p6/5k2/1P2b2Q/6p1/4Kb2/8/8 w - - 6 92,17
8/8/1p2Q3/1P6/3b2p1/3k1b2/8/4K3 b - - 5 104,0
8/8/1p6/1Pb5/4k1p1/1Q3b2/3K4/8 b - - 9 106,0
8/1p3Q2/8/1P2b1k1/6p1/5b2/5K2/8 w - - 18 98,12
4b1Q1/pp4p1/7b/6k1/8/5R1P/PP1rq1P1/5R1K w - - 7 37,399
rnb1kbnr/pp2pppp/8/2pq4/8/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 4,20
8/1p1Q4/5k2/1P4p1/4bb2/8/4K3/8 w - - 1 84,294
rnb1kb1r/pp3ppp/4pn2/3q4/3p4/2P1BN2/PP3PPP/RN1QKB1R w KQkq - 0 7,17
rnbqkbnr/pp2pppp/8/2pP4/8/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 3,26
rnbqkbnr/pp2pppp/8/2pp4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,30
rnb1k2r/pp2bppp/4pn2/3q4/3P4/2N1BN2/PP3PPP/R2QKB1R b KQkq - 2 8,42
rnb1kbnr/pp3ppp/4p3/2pq4/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 1 5,33
rnb1kb1r/pp3ppp/4pn2/2pq4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 2 6,28
rnb1kb1r/pp3ppp/4pn2/3q4/3P4/4BN2/PP3PPP/RN1QKB1R b KQkq - 0 7,16
rnb1kbnr/pp2pppp/8/2pq4/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,26
rnb1kb1r/pp3ppp/4pn2/2pq4/3P4/2P1BN2/PP3PPP/RN1QKB1R b KQkq - 3 6,19
rnb1k2r/pp2bppp/4pn2/3q4/3P4/4BN2/PP3PPP/RN1QKB1R w KQkq - 1 8,37
rnb1kbnr/pp3ppp/4p3/2pq4/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 0 5,27
r1b1k2r/pp2bppp/2nqpn2/8/3P4/2NBBN2/PP3PPP/R2QK2R w KQkq - 5 10,49
3rbR2/pp4pk/7b/8/4q3/1Q6/PP4PP/5R1K w - - 7 33,441
r1b1k2r/pp2bppp/2nqpn2/8/3P4/P1NBBN2/1P3PPP/R2QK2R b KQkq - 0 10,55
rnb1k2r/pp2bppp/3qpn2/8/3P4/2N1BN2/PP3PPP/R2QKB1R w KQkq - 3 9,48
r1b2rk1/pp2bppp/2nqpn2/8/3P4/P1NBBN2/1P3PPP/R2QK2R w KQ - 1 11,59
rnb1k2r/pp2bppp/3qpn2/8/3P4/2NBBN2/PP3PPP/R2QK2R b KQkq - 4 9,39
r1b2rk1/pp2bppp/2nqpn2/8/3P4/P1NBBN2/1PQ2PPP/R3K2R b KQ - 2 11,41
r1b2rk1/pp2bp1p/2nqpnp1/8/3P4/P1NBBN2/1PQ2PPP/R4RK1 b - - 1 12,55
2r2rk1/pb2bp1p/1pnqp1p1/8/3PB1n1/P1N1BN2/1PQ2PPP/3RR1K1 w - - 6 16,113
r1b2rk1/pp2bp1p/2nqpnp1/8/3P4/P1NBBN2/1PQ2PPP/R3K2R w KQ - 0 12,55
r1b2rk1/p3bp1p/1pnqpnp1/8/3P4/P1NBBN2/1PQ2PPP/R4RK1 w - - 0 13,74
2r2rk1/pb2bp1p/1pnqp1p1/8/3PB3/P1N1nN2/1P2QPPP/3RR1K1 w - - 0 17,109
2r2rk1/pb2bp1p/1pnqp1p1/8/3PB1n1/P1N1BN2/1P2QPPP/3RR1K1 b - - 7 16,113
r4rk1/pb2bp1p/1pnqpnp1/8/3P4/P1NBBN2/1PQ2PPP/3R1RK1 w - - 2 14,79
r4rk1/pb2bp1p/1pnqpnp1/8/3P4/P1NBBN2/1PQ2PPP/3RR1K1 b - - 3 14,83
r4rk1/pb2bp1p/1pnqp1p1/8/3PB1n1/P1N1BN2/1PQ2PPP/3RR1K1 b - - 5 15,98
2r2rk1/pb3p1p/1p2qbp1/n7/3NB3/P1N1Q3/1P3PPP/3RR1K1 b - - 1 20,0
r1b2rk1/p3bp1p/1pnqpnp1/8/3P4/P1NBBN2/1PQ2PPP/3R1RK1 b - - 1 13,88
2r2rk1/pb2qp1p/1p3bp1/nN6/4B3/P1N1Q3/1P3PPP/3RR1K1 b - - 3 21,-9
2r2rk1/pb2qp1p/1p3bp1/n7/3NB3/P1N1Q3/1P3PPP/3RR1K1 w - - 2 21,13
2r2rk1/p3qp1p/1p3bp1/nN6/4b3/P1N1Q3/1P3PPP/3RR1K1 w - - 0 22,-15
2r2rk1/p3qp1p/1p3bp1/nN6/4N3/P3Q3/1P3PPP/3RR1K1 b - - 0 22,-17
5rk1/p3qp1p/1pr3p1/nN6/4N3/P4Q2/1b3PPP/3RR1K1 w - - 2 24,-1
2r2rk1/pb3p1p/1pnqpbp1/3P4/4B3/P1N1QN2/1P3PPP/3RR1K1 b - - 0 18,45
2r2rk1/pb3p1p/1p1qpbp1/n2P4/4B3/P1N1QN2/1P3PPP/3RR1K1 w - - 1 19,49
2r2rk1/pb2bp1p/1pnqp1p1/8/3PB3/P1N1QN2/1P3PPP/3RR1K1 b - - 0 17,109
2r2rk1/pb3p1p/1pnqpbp1/8/3PB3/P1N1QN2/1P3PPP/3RR1K1 w - - 1 18,98
r4rk1/pb2bp1p/1pnqp1p1/8/3P2n1/P1NBBN2/1PQ2PPP/3RR1K1 w - - 4 15,84
2r2rk1/pb3p1p/1p2qbp1/n7/4B3/P1N1QN2/1P3PPP/3RR1K1 w - - 0 20,28
2r2rk1/p3qp1p/1p4p1/nN6/4N3/P4Q2/1b3PPP/3RR1K1 b - - 1 23,-33
2r2rk1/pb3p1p/1p1qPbp1/n7/4B3/P1N1QN2/1P3PPP/3RR1K1 b - - 0 19,19
5rk1/p3qp1p/1p2r1p1/nN6/P3N3/5Q2/1b3PPP/3RR1K1 w - - 1 25,-167
2r2rk1/p3qp1p/1p4p1/nN6/4N3/P3Q3/1b3PPP/3RR1K1 w - - 0 23,-13
5rk1/p3qp1p/1pr3p1/nN6/P3N3/5Q2/1b3PPP/3RR1K1 b - - 0 24,-170
5rk1/p3qpbp/1p2r1p1/nN6/P3N3/5Q2/4RPPP/3R2K1 w - - 3 26,-166
5rk1/p3qp1p/1p2r1p1/nN6/P3N3/5Q2/1b2RPPP/3R2K1 b - - 2 25,-166
5rk1/p3qpbp/1p2r1p1/nN6/P3N3/5Q2/4RPPP/4R1K1 b - - 4 26,-296
5rk1/4qpbp/pp2r1p1/nN6/P3N3/5Q2/4RPPP/4R1K1 w - - 0 27,-302
3r2k1/4qpbp/pp2r1p1/n7/P3N3/2N2Q2/4RPPP/4R1K1 w - - 2 28,-259
3r2k1/4qpbp/ppn1r1p1/8/P3N3/2N1RQP1/5P1P/4R1K1 b - - 2 29,-450
3r2k1/4qpbp/pp2r1p1/8/P2nN3/2N1R1P1/5P1P/3QR1K1 b - - 4 30,-376
3r2k1/4qpbp/ppn1r1p1/8/P3N3/2N2QP1/4RP1P/4R1K1 w - - 1 29,-443
3r4/4q1bk/pp2r1pp/5p2/P2nN2P/2N1R1P1/5P2/1Q2R1K1 w - - 0 35,-220
3r2k1/4qpb1/pp2r1pp/8/P2nN3/2N1R1P1/5P1P/3QR1K1 w - - 0 31,-335
3r2k1/4qpb1/pp2r1pp/8/P2nN3/2N1R1P1/5P1P/1Q2R1K1 b - - 1 31,-390
7k/1p1q1p1B/p1n1b2Q/2P2P2/1P1p4/P7/6PP/6K1 b - - 0 31,678
3r4/4q1bk/pp2r1pp/5p2/P2n3P/2N1R1P1/3N1P2/1Q2R1K1 b - - 1 35,-234
3r4/6bk/pp3qpp/5p2/P2n3P/2N1R1P1/3N1P2/1Q4K1 w - - 1 37,-92
3r4/6bk/pp3qpp/5p1P/P2n4/2N1R1P1/3N1P2/1Q4K1 b - - 0 37,-189
3r4/4qpbk/pp2r1pp/5n2/P3N2P/2N3P1/4RP2/1Q2R1K1 b - - 2 33,-305
3r2k1/4qpbp/pp2r1p1/n7/P3N3/2N2QP1/4RP1P/4R1K1 b - - 0 28,-447
3r4/4q1bk/pp4pp/5p2/P2n3P/2N1r1P1/3N1P2/1Q2R1K1 w - - 0 36,-202
3r4/4q1bk/pp4pp/5p2/P2n3P/2N1R1P1/3N1P2/1Q4K1 b - - 0 36,-218
3r4/4qpbk/pp2r1pp/8/P2nN2P/2N1R1P1/5P2/1Q2R1K1 b - - 0 32,-317
5rk1/4qpbp/pp2r1p1/n7/P3N3/2N2Q2/4RPPP/4R1K1 b - - 1 27,-352
3r2k1/4qpbp/pp2r1p1/8/P2nN3/2N1RQP1/5P1P/4R1K1 w - - 3 30,-383
3r4/6bk/pp3qPp/8/P2n1p2/2N1R1P1/3N1P2/1Q4K1 b - - 0 38,-196
3r4/6bk/pp4Qp/8/P2n1p2/2N1R1P1/3N1P2/6K1 b - - 0 39,-200
3r4/6b1/pp4kp/8/P2n1p2/2N1R1P1/3N1P2/6K1 w - - 0 40,-214
3r4/6bk/pp3qpp/7P/P2n1p2/2N1R1P1/3N1P2/1Q4K1 w - - 0 38,-21
3r4/6b1/pp4kp/8/P2n4/2NR2p1/3N1P2/6K1 w - - 0 41,-210
3r4/6bk/pp4qp/8/P2n1p2/2N1R1P1/3N1P2/1Q4K1 w - - 0 39,-197
3r4/5kb1/pp5p/8/P2n4/2N3R1/3N1P2/6K1 w - - 1 42,-152
3r4/6b1/pp4kp/8/P2n1p2/2NR2P1/3N1P2/6K1 b - - 1 40,-222
3r4/4qpbk/pp2r1pp/8/P2nN3/2N1R1P1/5P1P/1Q2R1K1 w - - 2 32,-306
3r4/5kb1/7p/8/Np1nN3/6R1/5P2/5K2 b - - 1 45,-201
1r3k2/6b1/3N3p/8/3n4/1p2R3/1N3P2/5K2 b - - 5 48,-283
3r4/5kb1/p6p/1P6/3nN3/2N3R1/5P2/6K1 b - - 0 43,-200
3r4/5kb1/pp5p/8/P2nN3/2N3R1/5P2/6K1 b - - 2 42,-193
3r4/6b1/pp4kp/8/P2n4/2N3R1/3N1P2/6K1 b - - 0 41,-226
3r4/4qpbk/pp2r1pp/5n2/P3N2P/2N1R1P1/5P2/1Q2R1K1 w - - 1 33,-312
3r4/5kb1/7p/1p6/3nN3/2N3R1/5P2/5K2 b - - 1 44,-198
3r4/5kb1/7p/8/1p1nN3/2N3R1/5P2/5K2 w - - 0 45,-219
3r4/5kb1/7p/8/N2nN3/1p4R1/5P2/5K2 w - - 0 46,-206
3r4/5kb1/7p/8/3nN3/1p4R1/1N3P2/5K2 b - - 1 46,-205
1r6/5kb1/7p/8/3nN3/1p4R1/1N3P2/5K2 w - - 2 47,-213
1r3k2/6b1/3N3p/5n2/8/1p2R3/1N3P2/5K2 w - - 6 49,-335
1r3k2/6b1/7p/5N2/8/1p2R3/1N3P2/5K2 b - - 0 49,-306
1r3k2/8/7p/5N2/8/1p2R3/1b3P2/5K2 w - - 0 50,-310
1r3k2/6b1/3N3p/8/3n4/1p4R1/1N3P2/5K2 w - - 4 48,-171
1r6/5kb1/3N3p/8/3n4/1p4R1/1N3P2/5K2 b - - 3 47,-207
3r4/5kb1/7p/1p6/3nN3/2N3R1/5P2/6K1 w - - 0 44,-194
3r4/4qpbk/pp2r1pp/8/P2nN2P/2N3P1/4RP2/1Q2R1K1 w - - 3 34,-330
3r4/5kb1/p6p/1p6/P2nN3/2N3R1/5P2/6K1 w - - 0 43,-197
1r3k2/8/7p/5N2/8/1p6/1b3P2/4RK2 b - - 1 50,-329
1r3k2/8/7p/8/3N4/b7/1p3P2/1R3K2 b - - 1 52,-493
1r3k2/8/7p/5N2/8/b7/1p3P2/1R3K2 w - - 0 52,-328
2r2k2/8/7p/8/8/bN6/1p3P2/1R3K2 b - - 3 53,-545
1r3k2/8/7p/5N2/8/bp6/5P2/4RK2 w - - 2 51,-317
5k2/8/7p/8/8/bNr5/1p3P2/1R3K2 w - - 4 54,-551
5k2/8/7p/8/8/b7/1p1N1P2/1Rr2K2 w - - 6 55,-552
5k2/8/7p/8/8/b1r5/1p1N1P2/1R3K2 b - - 5 54,-580
1r3k2/8/7p/5N2/8/bp6/5P2/1R3K2 b - - 3 51,-337
r1b1kb1r/pp1n1pp1/2p1pq1p/3p4/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 8,20
2r2k2/8/7p/8/3N4/b7/1p3P2/1R3K2 w - - 2 53,-490
r1b1kb1r/pp1n1p2/2p1pqpp/8/2BP4/2N1PN2/PP3PPP/R2QK2R w KQkq - 0 10,20
rnb1kb1r/pp3pp1/2p1pq1p/3p4/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,12
rnbqkb1r/pp3pp1/2p1pB1p/3p4/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,36
r1b1kb1r/pp1n1pp1/2p1pq1p/8/2pP4/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 9,12
rnb1kb1r/pp3pp1/2p1pq1p/3p4/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 7,1
rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 5,25
r1b1k2r/pp1n1pb1/2p1pqpp/8/1PBP4/2N1PN2/P4PPP/R2Q1RK1 b kq - 0 11,-18
rnbqkb1r/pp3pp1/2p1pn1p/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,31
r1b2rk1/pp2qpb1/1np1p1pp/8/1P1P4/1QNBPN2/P4PPP/2R2RK1 b - - 6 14,22
r1b1kb1r/pp1n1pp1/2p1pq1p/8/2BP4/2N1PN2/PP3PPP/R2QK2R b KQkq - 0 9,16
r1b1kb1r/pp1n1pp1/2p1pq1p/3p4/2PP4/2NBPN2/PP3PPP/R2QK2R b KQkq - 2 8,3
r1br2k1/pp2qpb1/1np1p1pp/8/1P1P4/1QNBPN2/P4PPP/2R2RK1 w - - 7 15,0
r1b2rk1/pp1n1pb1/2p1pqpp/8/1PBP4/2N1PN2/P4PPP/2RQ1RK1 b - - 2 12,-21
r1b1kb1r/pp1n1p2/2p1pqpp/8/2BP4/2N1PN2/PP3PPP/R2Q1RK1 b kq - 1 10,13
r1b2rk1/pp1n1pb1/2p1pqpp/8/1PBP4/2N1PN2/P4PPP/R2Q1RK1 w - - 1 12,7
r1b2rk1/pp1nqpb1/2p1p1pp/8/1PBP4/2N1PN2/P4PPP/2RQ1RK1 w - - 3 13,-23
r1br2k1/pp2qpb1/1np1p1pp/8/1P1PN3/1Q1BPN2/P4PPP/2R2RK1 b - - 8 15,-24
r1br2k1/pp2qpb1/2p1p1pp/3n4/1P1PN3/PQ1BPN2/5PPP/2R2RK1 b - - 0 16,-24
r1b2rk1/pp1nqpb1/2p1p1pp/8/1PBP4/1QN1PN2/P4PPP/2R2RK1 b - - 4 13,-20
r2rb1k1/p3qpb1/1pp1p1pp/3n4/1P1P4/PQ1NPN2/5PPP/1BR2RK1 b - - 1 19,-39
r1br2k1/pp2qpb1/2p1p1pp/3n4/1P1PN3/1Q1BPN2/P4PPP/2R2RK1 w - - 9 16,-15
r1b2rk1/pp2qpb1/1np1p1pp/8/1PBP4/1QN1PN2/P4PPP/2R2RK1 w - - 5 14,18
r2rb1k1/p3qpb1/1pp1p1pp/2Nn4/1P1P4/PQ2PN2/5PPP/1BR2RK1 w - - 0 19,-46
r1b1k2r/pp1n1pb1/2p1pqpp/8/2BP4/2N1PN2/PP3PPP/R2Q1RK1 w kq - 2 11,3
r2rb1k1/pp2qpb1/2p1p1pp/2Nn4/1P1P4/PQ1BPN2/5PPP/2R2RK1 w - - 3 18,-15
r2rb1k1/4qpb1/1pp1p1pp/p2n4/1P1P4/PQ1NPN2/5PPP/1BR2RK1 w - - 0 20,-42
r2rb1k1/pp2qpb1/2p1p1pp/2Nn4/1P1P4/PQ2PN2/5PPP/1BR2RK1 b - - 4 18,-44
r2r2k1/pp1bqpb1/2p1p1pp/3n4/1P1PN3/PQ1BPN2/5PPP/2R2RK1 w - - 1 17,0
r2r2k1/pp1bqpb1/2p1p1pp/2Nn4/1P1P4/PQ1BPN2/5PPP/2R2RK1 b - - 2 17,13
r2rb1k1/4qpb1/1pp1p1pp/p2n4/1PRP4/PQ1NPN2/5PPP/1B3RK1 b - - 1 20,-67
7k/1p1q1p1B/p1n1b2Q/2P5/1P1p1P2/P7/6PP/6K1 w - - 0 31,673
rr2b1k1/2n1qpb1/1pp1p1pp/8/1PRPP3/1Q1N1N2/5PPP/1B3RK1 w - - 1 23,-77
3r2k1/4qpb1/1pR1p1pp/1n6/1PQPP3/r4N2/5PPP/1BR3K1 b - - 2 27,-200
3r2k1/4qpb1/1pR1p1pp/8/1PQNP3/r7/5PPP/1BR3K1 b - - 0 28,-179
r2r2k1/4qpb1/1pR1p1pp/1n6/1P1PP3/1Q3N2/5PPP/1BR3K1 b - - 0 26,-193
3r2k1/4qpb1/1pR1p1pp/8/1PQnP3/r4N2/5PPP/1BR3K1 w - - 0 28,-207
r2rb1k1/4qpb1/1pp1p1pp/3n4/1pRP4/PQ1NPN2/5PPP/1B3RK1 w - - 0 21,-74
rr2b1k1/4qpb1/1pp1p1pp/1n2N3/1PRPP3/1Q3N2/5PPP/1BR3K1 b - - 4 24,-89
rr2b1k1/4qpb1/1pp1p1pp/3n4/1PRP4/1Q1NPN2/5PPP/1B3RK1 w - - 1 22,-69
3r2k1/4qpb1/1pR1p1pp/1n6/1P1PP3/rQ3N2/5PPP/1BR3K1 w - - 1 27,-190
r2r2k1/4qpb1/1pb1p1pp/1n6/1PRPP3/1Q3N2/5PPP/1BR3K1 w - - 0 26,-190
rr2b1k1/4qpb1/1pp1p1pp/1n6/1PRPP3/1Q1N1N2/5PPP/1BR3K1 w - - 3 24,-84
r2rb1k1/4qpb1/1pN1p1pp/1n6/1PRPP3/1Q3N2/5PPP/1BR3K1 b - - 0 25,-201
3q4/2R2pbk/1pQ1p1pp/8/1P2P3/5rP1/5R1P/1B4K1 b - - 0 34,M-7
8/2R2pbk/1pQ1p1pp/8/1P2P3/5rP1/5R1P/1B1q2K1 w - - 1 35,M-6
8/2R2pbk/1pQ1p1pp/8/1P2P3/5rP1/5RKP/1B1q4 b - - 2 35,M-6
8/2R2pbk/1pQ1p1pp/8/1P2P3/6P1/5rKP/1B1q4 w - - 0 36,M-5
8/2R2pbk/1pQ1p1pp/8/1P2P3/6P1/5K1P/1B1q4 b - - 0 36,M-5
8/2R2p1k/1pQ1p1pp/8/1P1bP3/6P1/5K1P/1B1q4 w - - 1 37,M-4
rr2b1k1/4qpb1/1pp1p1pp/3n4/1PRPP3/1Q1N1N2/5PPP/1B3RK1 b - - 0 22,-77
rr2b1k1/2n1qpb1/1pp1p1pp/8/1PRPP3/1Q1N1N2/5PPP/1BR3K1 b - - 2 23,-75
r2rb1k1/4qpb1/1pp1p1pp/3n4/1PRP4/1Q1NPN2/5PPP/1B3RK1 b - - 0 21,-76
3q4/2R2pbk/1pQ1p1pp/8/1P2P3/5rP1/5r1P/1B3RK1 w - - 0 34,M-9
3q4/2R2pbk/1pQ1p1pp/8/1P2P3/5rP1/3r1P1P/1B3RK1 b - - 2 33,M-20
2R5/4qpbk/1p2p1pp/8/1PQrP3/r7/5PPP/1BR3K1 w - - 2 30,-172
r2rb1k1/4qpb1/1pp1p1pp/1n2N3/1PRPP3/1Q3N2/5PPP/1BR3K1 w - - 5 25,-88
2R3k1/4qpb1/1p2p1pp/8/1PQrP3/r7/5PPP/1BR3K1 b - - 1 29,-179
r2q1rk1/1bppbppp/p1n2n2/1p2p3/P3P3/1B3N2/1PPP1PPP/RNBQR1K1 w - - 1 9,24
r2q1rk1/1bppbppp/p1n2n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQR1K1 b - - 0 9,29
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQR1K1 w - - 0 10,28
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1BPP1N2/1P3PPP/RNBQR1K1 b - - 0 10,9
6k1/4qpb1/1pR1p1pp/8/1PQrP3/r7/5PPP/1BR3K1 w - - 0 29,-193
Rn1q1rk1/1bp1bppp/3p1n2/1p2p3/4P3/1BPP1N2/1P3PPP/1NBQR1K1 b - - 0 12,30
rn1q1rk1/1bp1bppp/3p1n2/1p2p3/4P3/1BPP1N2/1P3PPP/RNBQR1K1 w - - 0 12,54
rn1q1rk1/1bp1bppp/p2p1n2/1p2p3/P3P3/1BPP1N2/1P3PPP/RNBQR1K1 w - - 1 11,16
3q4/2R2pbk/1pQ1p1pp/8/1P2P3/5rP1/3r1P1P/1BR3K1 w - - 1 33,-634
bn1q1rk1/4bppp/2pp1n2/1p2p1N1/4P3/NBPP4/1P3PPP/2BQR1K1 b - - 1 14,0
bn1q1rk1/4bpp1/2pp1n1p/1p2p1N1/4P3/NBPP4/1P3PPP/2BQR1K1 w - - 0 15,7
3q4/2R2pbk/1pQ1p1pp/8/1P2P3/r5P1/3r1P1P/1BR3K1 b - - 0 32,-644
bn1q1rk1/4bppp/2pp1n2/1p2p3/4P3/NBPP1N2/1P3PPP/2BQR1K1 w - - 0 14,39
b2q1rk1/3nbpp1/2pp1n1p/1p2p3/4PP2/NBPP3N/1P4PP/2BQR1K1 b - - 0 16,-19
bn1q1rk1/4bpp1/2pp1n1p/1p2p3/4P3/NBPP3N/1P3PPP/2BQR1K1 b - - 1 15,-38
rn1q1rk1/1bp1bppp/p2p1n2/1P2p3/4P3/1BPP1N2/1P3PPP/RNBQR1K1 b - - 0 11,30
3q1rk1/1b1nbpp1/2pp1n1p/1p2p3/4PP2/NBPP3N/1P4PP/2BQR1K1 w - - 1 17,-44
bn1q1rk1/2p1bppp/3p1n2/1p2p3/4P3/1BPP1N2/1P3PPP/1NBQR1K1 w - - 0 13,33
2R5/4qpbk/1pQ1p1pp/8/1P2P3/r7/3r1PPP/1BR3K1 w - - 4 31,-430
b2q1rk1/3nbpp1/2pp1n1p/1p2p3/4P3/NBPP3N/1P3PPP/2BQR1K1 w - - 2 16,-37
2bq1rk1/3nbpp1/2pp1n1p/1p2p3/3PPP2/NBP5/1P3NPP/2BQR1K1 b - - 0 18,-19
bn1q1rk1/2p1bppp/3p1n2/1p2p3/4P3/NBPP1N2/1P3PPP/2BQR1K1 b - - 1 13,26
2b3k1/3nrpp1/3p1n1p/qp2p3/2pPPP2/1BP5/1P3NPP/2BQR1K1 w - - 0 23,10
2b2rk1/3nbpp1/3p1n1p/qpp1p3/3PPP2/1BP1N3/1P3NPP/2BQR1K1 b - - 1 20,-12
2b2rk1/3nbpp1/3p1n1p/qp2pN2/2pPPP2/1BP5/1P3NPP/2BQR1K1 b - - 1 21,-2
2R5/4qpbk/1pQ1p1pp/8/1P1rP3/r7/5PPP/1BR3K1 b - - 3 30,-432
2b1r1k1/3nNpp1/3p1n1p/qp2p3/2pPPP2/1BP5/1P3NPP/2BQR1K1 b - - 0 22,0
2b3k1/3nrpp1/3p1n1p/qp2p3/2pPPP2/2P5/1PB2NPP/2BQR1K1 b - - 1 23,0
2b2rk1/3nbpp1/2pp1n1p/qp2p3/3PPP2/NBP5/1P3NPP/2BQR1K1 w - - 1 19,-26
3q1rk1/1b1nbpp1/2pp1n1p/1p2p3/4PP2/NBPP4/1P3NPP/2BQR1K1 b - - 2 17,-42
2b1r1k1/3n1pp1/3p1n1p/q3P3/1pp1PPP1/2P5/1PB2N1P/2BQR1K1 b - - 0 25,0
2b1r1k1/3n1pp1/5n1p/q3p3/1Pp1PPP1/8/1PB2N1P/2BQR1K1 b - - 0 26,0
2b1r1k1/3n1pp1/3p1n1p/qp2p3/2pPPP2/2P5/1PB2NPP/2BQR1K1 w - - 2 24,29
2bq1rk1/3nbpp1/2pp1n1p/1p2p3/4PP2/NBPP4/1P3NPP/2BQR1K1 w - - 3 18,-20
2b2rk1/3nbpp1/2pp1n1p/qp2p3/3PPP2/1BP5/1PN2NPP/2BQR1K1 b - - 2 19,-9
2b1r1k1/3n1pp1/3p1n1p/q3p3/1ppPPPP1/2P5/1PB2N1P/2BQR1K1 w - - 0 25,7
2b1r1k1/3nbpp1/3p1n1p/qp2pN2/2pPPP2/1BP5/1P3NPP/2BQR1K1 w - - 2 22,16
2b2rk1/3nbpp1/3p1n1p/qp2p3/2pPPP2/1BP1N3/1P3NPP/2BQR1K1 w - - 0 21,0
